valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
562400.0,55.0,2.0,2.251902,48.83842,10225.454545454546,5,1,2024,16
580000.0,78.0,3.0,2.251124,48.843025,7435.897435897436,15,1,2024,16
880000.0,85.0,4.0,2.253974,48.835999,10352.941176470587,19,1,2024,16
252165.0,34.0,1.0,2.28194,48.830593,7416.617647058823,20,3,2024,15
485000.0,89.0,4.0,2.252871,48.837354,5449.438202247191,5,4,2024,16
260000.0,31.0,1.0,2.281291,48.830957,8387.09677419355,25,4,2024,15
685000.0,95.0,4.0,2.25131,48.839796,7210.526315789473,30,4,2024,16
652800.0,50.0,2.0,2.253586,48.836171,13056.0,3,6,2024,16
400000.0,56.0,3.0,2.251902,48.83842,7142.857142857143,31,5,2024,16
821750.0,124.0,6.0,2.252871,48.837354,6627.0161290322585,11,6,2024,16
966552.25,124.0,6.0,2.252871,48.837354,7794.7762096774195,14,6,2024,16
700000.0,111.0,6.0,2.283522,48.83058,6306.306306306306,26,6,2024,15
140000.0,24.0,1.0,2.281291,48.830957,5833.333333333333,11,7,2024,15
293537.0,24.0,1.0,2.281291,48.830957,12230.708333333334,12,6,2024,15
127500.0,33.0,1.0,2.281291,48.830957,3863.6363636363635,12,8,2024,15
157400.0,28.0,1.0,2.281291,48.830957,5621.428571428572,29,8,2024,15
539600.0,90.0,4.0,2.253586,48.836171,5995.555555555556,2,9,2024,16
680000.0,92.0,4.0,2.254418,48.835313,7391.304347826087,3,9,2024,16
1061118.2,69.0,3.0,2.251302,48.843486,15378.52463768116,13,9,2024,16
265000.0,29.0,1.0,2.254116,48.83567,9137.931034482759,17,9,2024,16
535035.0,58.0,2.0,2.254418,48.835313,9224.741379310344,23,9,2024,16
1042000.0,86.0,4.0,2.405228,48.868216,12116.279069767443,4,1,2024,20
299120.0,36.0,3.0,2.347665,48.895338,8308.888888888889,4,1,2024,18
426471.0,42.0,1.0,2.370282,48.871532,10154.07142857143,3,1,2024,10
778000.0,60.0,3.0,2.36051,48.859577,12966.666666666666,8,1,2024,3
778000.0,63.0,3.0,2.36051,48.859577,12349.20634920635,8,1,2024,3
630000.0,66.0,2.0,2.36959,48.884423,9545.454545454546,5,1,2024,19
173025.0,17.0,1.0,2.405022,48.867372,10177.941176470587,5,1,2024,20
392000.0,40.0,2.0,2.391306,48.878743,9800.0,3,1,2024,19
160000.0,22.0,2.0,2.326389,48.884674,7272.727272727273,3,1,2024,17
228000.0,26.0,2.0,2.343376,48.894574,8769.23076923077,5,1,2024,18
188219.0,28.0,2.0,2.374061,48.875243,6722.107142857143,4,1,2024,19
195000.0,25.0,1.0,2.315548,48.894484,7800.0,5,1,2024,17
901200.0,75.0,3.0,2.321264,48.883983,12016.0,4,1,2024,17
447000.0,33.0,2.0,2.331672,48.86631,13545.454545454546,3,1,2024,1
561000.0,43.0,2.0,2.36636,48.852716,13046.511627906977,8,1,2024,4
555000.0,52.0,3.0,2.323358,48.883687,10673.076923076924,9,1,2024,17
500000.0,67.0,4.0,2.362009,48.89306,7462.686567164179,8,1,2024,18
431500.0,46.0,2.0,2.396097,48.86825,9380.434782608696,4,1,2024,20
151000.0,17.0,1.0,2.405847,48.868551,8882.35294117647,5,1,2024,20
548600.0,48.0,2.0,2.31573,48.884386,11429.166666666666,10,1,2024,17
220000.0,65.0,3.0,2.362369,48.894577,3384.6153846153848,4,1,2024,18
416000.0,38.0,2.0,2.364212,48.879972,10947.368421052632,10,1,2024,10
258000.0,16.0,1.0,2.335105,48.894236,16125.0,8,1,2024,18
258000.0,16.0,1.0,2.335105,48.894236,16125.0,8,1,2024,18
690000.0,70.0,4.0,2.362689,48.861423,9857.142857142857,3,1,2024,3
375000.0,50.0,3.0,2.350823,48.894012,7500.0,10,1,2024,18
